DATE,FOLLOWERS,NEW_FOLLOWERS,ENGAGEMENT_RATE_%,POSTS_PUBLISHED,TOTAL_SAVES,TOTAL_COMMENTS,TOTAL_SHARES,REACH,POST_TYPES,HIGHEST_ENGAGEMENT_POST,NOTES,WEEKLY_GROWTH,MOMENTUM
2026-05-20,0,0,0,0,0,0,0,0,---,N/A,Week 1 Start,0,Starting
2026-05-21,25,25,0,1,2,3,0,450,Reel,The Witness,Post 1 live,25,Good start
2026-05-22,45,20,6.7,1,4,5,1,600,Reel,The Worlds,Post 2 gaining traction,45,Accelerating
2026-05-23,68,23,5.9,2,8,10,1,850,Carousel,4 Portraits,Both posts performing well,68,Positive
2026-05-24,95,27,6.2,2,12,15,2,1200,Mix,4 Portraits (saves),Weekend momentum,95,Great
2026-05-25,130,35,5.8,2,14,17,2,1500,Mix,The Worlds,Community engagement starting,130,Excellent
2026-05-26,160,30,5.5,3,16,18,2,1800,Mix,The Witness (saves),Week 1 total = 160 followers,160,Strong foundation
2026-05-27,190,30,5.3,3,18,20,3,2100,Mix,The Worlds (comments),Momentum building,190,On track
2026-05-28,220,30,5.1,4,22,25,3,2400,Mix,4 Portraits (saves),Mid-month check good,220,Good
2026-05-29,250,30,4.9,4,24,28,3,2700,Mix,New reel,Consistency paying off,250,Great
2026-05-30,280,30,4.8,5,28,32,4,3000,Mix,Joshua Trees,Week 2 ending strong,280,Accelerating
2026-05-31,310,30,4.7,5,30,35,4,3300,Mix,Joshua Trees (saves),Month 1 end = 310 followers,310,On track to 1k?
